,Cuisine,address,name,postalCode,Tag,ratings
0,Fast Food,925 Blossom Hill Road Oakridge Mall,Buca Di Beppo - San Jose - Oakridge,95123,Food,4
1,Fast Food,26900 Newport Rd,Giovanni's Pizza and Pasta,92584,Food,3
2,Fast Food,3060 Naglee Rd,Applebee's Tracy,95304,Food,3
3,Fast Food,50a,Patrick Molloy's Sports Pub,90254,Food,3
4,Fast Food,555 Soquel Ave,Ristorante Italiano,95062,Food,4
5,Fast Food,28985 Golden Lantern,I Love Bagels,92677,Food,3
6,Fast Food,9822 Libra Ave,Milanos Pizza,95827,Food,4
7,Fast Food,1640 Camino Del Rio N,Tilted Kilt Mission Valley,92108,Food,4
8,Fast Food,1231 Park St,The Fire Den,94501,Food,4
9,Fast Food,502 M St,Valley Lahvosh Baking,93721,Food,3
10,Fast Food,5365 Alton Pkwy,Zpizza,92604,Food,4
11,Fast Food,73722 El Paseo,Piero's Pizza Vino,92260,Food,3
12,Fast Food,216 Townsend St,District - San Francisco,94107,Food,4
13,Fast Food,& The Embarcadero,Waterfront Restaurant,94111,Food,3
14,Fast Food,6593 Collins Dr,Custom Pie,93021,Food,4
15,Fast Food,820 N Alta Ave,You-be's U-bake Pizza,93618,Food,4
16,Fast Food,34579 Yucaipa Blvd,Pizza Chalet,92399,Food,4
17,Fast Food,112 Internatl Boardwalk,Izakaya Bincho,90277,Food,4
18,Fast Food,1420 E Hatch Rd,Rico's Pizza,95351,Food,4
19,Fast Food,6550 Topanga Canyon Blvd,Nm Cafe At Neiman Marcus Topanga,91313,Food,4
20,Fast Food,19065 Beach Blvd,Two Brothers Pizza,92648,Food,3
21,Fast Food,7091 El Cajon,Terra American Bistro,92115,Food,4
22,Fast Food,26601 Aliso Creek Rd,Bagels & Brew,92656,Food,3
23,Fast Food,3100 Lakeville Hwy,Starbucks Coffee,94954,Food,3
24,Fast Food,7270 Victoria Park Ln,Anya's Pizza,91739,Food,4
25,Fast Food,442 W Hillcrest Dr,The Cheesecake Factory - Thousand Oaks,91360,Food,4
26,Fast Food,310 S California Ave,Printers Inc Cafe,94306,Food,4
27,Fast Food,191 San Felipe Rd,Straw Hat Pizza,95023,Food,4
28,Fast Food,23233 Saticoy St,Raz's Little Italy,91304,Food,3
29,Fast Food,12833 Ventura Blvd,River Rock,91604,Food,4
30,Fast Food,2279 Eagle Glen Pkwy,New York Pizza Department & Bagels,92883,Food,4
31,Fast Food,7701 White Ln,Firehouse,93309,Food,4
32,Fast Food,400 Stanford Shopping Ctr,Nm Cafe At Neiman Marcus - Palo Alto,94304,Food,3
33,Fast Food,205 N Moorpark Rd,Buca Di Beppo - Thousand Oaks,91360,Food,3
34,Fast Food,1150 9th St,Doubletree Hotel Modesto,95354,Food,3
35,Fast Food,1664 Indian Hill Blvd,Piara Pizza,91767,Food,3
36,Fast Food,25431 Trabuco Rd,Ameci Pizza & Pasta,92630,Food,3
37,Fast Food,7753 Roseville Rd,Taste of Tuscany,95842,Food,3
38,Fast Food,831 Middlefield Rd,Escape From New York Pizza,94063,Food,4
39,Fast Food,1655 India St,Davanti Enoteca - Little Italy,92101,Food,3
40,Fast Food,140 S Lake Ave,Seco,91101,Food,4
41,Fast Food,6060 Scholarship,Avocado Cafe,92612,Food,3
42,Fast Food,1731 India St,Cafe Zucchero,92101,Food,4
43,Fast Food,1321 N H St,Mi Amore Pizza & Pasta,93436,Food,3
45,Fast Food,12170 4th St,Jake's Italian Bistro & Brew,92399,Food,4
46,Fast Food,1413 S Victoria Ave,Victoria Pub & Grill,93003,Food,3
47,Fast Food,288 Golf Course Dr W,Tony's of North Beach,94928,Food,3
48,Fast Food,1125 Victoria St,Midnight Muncheez,92627,Food,4
49,Fast Food,Fullerton College,Stinger's Cafe,92832,Food,4
50,Fast Food,295 Mare Island Way,USA Doors Gates Svc,94590,Food,4
51,Fast Food,4550 Balfour Rd,Rico's Italian Pizza,94513,Food,4
52,Fast Food,10835 Venice Blvd,Bamboo Restaurant,90034,Food,3
